# Tabulated Angle Potential File (Huang Model)


Angle1
N 200 EQ 180.00
90 80.5025 3.4388 0.3615
91 81.4070 3.2995 0.3239
92 82.3116 3.1682 0.2895
93 83.2161 3.0439 0.2581
94 84.1206 2.9253 0.2295
95 85.0251 2.8118 0.2035
96 85.9296 2.7024 0.1799
97 86.8342 2.5965 0.1585
98 87.7387 2.4935 0.1392
99 88.6432 2.3929 0.1219
100 89.5477 2.2942 0.1063
101 90.4523 2.1971 0.0923
102 91.3568 2.1014 0.0799
103 92.2613 2.0068 0.0688
104 93.1658 1.9132 0.0590
105 94.0704 1.8205 0.0504
106 94.9749 1.7285 0.0428
107 95.8794 1.6374 0.0361
108 96.7839 1.5472 0.0303
109 97.6884 1.4578 0.0253
110 98.5930 1.3695 0.0209
111 99.4975 1.2823 0.0172
112 100.4020 1.1964 0.0141
113 101.3065 1.1120 0.0114
114 102.2111 1.0292 0.0091
115 103.1156 0.9483 0.0072
116 104.0201 0.8694 0.0057
117 104.9246 0.7927 0.0044
118 105.8291 0.7184 0.0033
119 106.7337 0.6469 0.0025
120 107.6382 0.5782 0.0019
121 108.5427 0.5126 0.0013
122 109.4472 0.4502 0.0010
123 110.3518 0.3913 0.0007
124 111.2563 0.3360 0.0004
125 112.1608 0.2845 0.0003
126 113.0653 0.2369 0.0002
127 113.9698 0.1935 0.0001
128 114.8744 0.1542 0.0001
129 115.7789 0.1192 0.0000
130 116.6834 0.0886 0.0000
131 117.5879 0.0625 0.0000
132 118.4925 0.0409 0.0000
133 119.3970 0.0238 0.0000
134 120.3015 0.0113 0.0000
135 121.2060 0.0035 0.0000
136 122.1106 0.0001 0.0000
137 123.0151 0.0013 -0.0000
138 123.9196 0.0070 -0.0000
139 124.8241 0.0172 -0.0000
140 125.7286 0.0317 -0.0000
141 126.6332 0.0505 -0.0000
142 127.5377 0.0736 -0.0000
143 128.4422 0.1008 -0.0000
144 129.3467 0.1319 -0.0001
145 130.2513 0.1671 -0.0001
146 131.1558 0.2060 -0.0002
147 132.0603 0.2487 -0.0003
148 132.9648 0.2951 -0.0004
149 133.8693 0.3450 -0.0006
150 134.7739 0.3984 -0.0009
151 135.6784 0.4552 -0.0013
152 136.5829 0.5155 -0.0018
153 137.4874 0.5792 -0.0024
154 138.3920 0.6462 -0.0033
155 139.2965 0.7168 -0.0043
156 140.2010 0.7909 -0.0055
157 141.1055 0.8687 -0.0071
158 142.0101 0.9503 -0.0089
159 142.9146 1.0360 -0.0111
160 143.8191 1.1260 -0.0138
161 144.7236 1.2207 -0.0169
162 145.6281 1.3204 -0.0206
163 146.5327 1.4257 -0.0248
164 147.4372 1.5370 -0.0298
165 148.3417 1.6551 -0.0355
166 149.2462 1.7806 -0.0421
167 150.1508 1.9143 -0.0496
168 151.0553 2.0572 -0.0582
169 151.9598 2.2103 -0.0678
170 152.8643 2.3747 -0.0788
171 153.7688 2.5518 -0.0911
172 154.6734 2.7428 -0.1049
173 155.5779 2.9495 -0.1203
174 156.4824 3.1733 -0.1375
175 157.3869 3.4162 -0.1566
176 158.2915 3.6802 -0.1777
177 159.1960 3.9675 -0.2011
178 160.1005 4.2803 -0.2269
179 161.0050 4.6213 -0.2552
180 161.9095 4.9932 -0.2864
181 162.8141 5.3989 -0.3205
182 163.7186 5.8416 -0.3577
183 164.6231 6.3247 -0.3984
184 165.5276 6.8518 -0.4426
185 166.4322 7.4268 -0.4907
186 167.3367 8.0537 -0.5430
